,x lower,x upper,y lower,y upper,0 lower,0 upper,1 lower,1 upper,2 lower,2 upper,3 lower,3 upper
0,-0.838482738,-0.835938692,0.717901587,0.84931165,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
1,-0.218375787,-0.212075546,-0.982499719,-0.981790841,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
2,-0.945992589,-0.940153301,-0.0880383551,-0.0491458364,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
3,0.68807286,0.713678002,1.10865104,1.11036777,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4,-0.0872552171,-0.0856428593,0.477271527,0.497645378,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
5,-0.966932297,-0.96549046,0.0288200565,0.0450736247,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
6,0.0993981808,0.101971,0.0863662809,0.102541238,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
7,-0.744420052,-0.725037813,0.866047382,0.870633841,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
8,0.756852627,0.759148836,-0.554947853,-0.545661747,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
9,-0.827421308,-0.821686029,1.15401936,1.15545368,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
10,0.880823433,0.881855607,1.04207301,1.04439151,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
11,0.229706377,0.279926479,-0.953308702,-0.951572478,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
12,0.454330742,0.455491781,-0.793589234,-0.78498733,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
13,-1.0255003,-1.00327694,0.783894241,0.84931165,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
14,0.792262435,0.799402595,-0.40371716,-0.379053503,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
15,-0.51016742,-0.403560966,-0.768513083,-0.760847807,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
16,0.310624063,0.322128892,-0.963753581,-0.959013343,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
17,-0.666853547,-0.636451662,0.951900303,0.955551028,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
18,0.00461252872,0.00703201303,-1.08906031,-1.08267879,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
19,0.0930987746,0.0993981808,0.177754417,0.184538722,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
20,0.145952761,0.156046122,0.111793704,0.150818065,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
21,0.627481401,0.713678002,-0.554947853,-0.545661747,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
22,-0.744420052,-0.725037813,0.717901587,0.84931165,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
23,-0.765919089,-0.763745725,1.20213795,1.20580745,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
24,-0.091114901,-0.0897354633,0.497645378,0.552112937,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
25,0.119406007,0.123673171,-0.980572581,-0.975978374,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
26,-0.0315793231,-0.0161864199,0.346850276,0.362101048,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
27,0.835667491,0.837550342,0.990944505,0.99567616,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
28,-0.0161864199,-0.0134225581,0.177754417,0.184538722,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
29,-0.0315793231,-0.0161864199,0.370143861,0.38251847,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
30,0.713678002,0.738358796,0.77592802,0.824132919,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0
31,-0.0442808494,-0.0428859815,0.170318961,0.176073402,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
32,-0.744420052,-0.725037813,0.937291086,0.951900303,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
33,-0.0569101125,-0.0522033945,-0.872547388,-0.852408826,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
34,-0.759786367,-0.756398916,1.02541614,1.02815795,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
35,-0.952346385,-0.948684692,-0.0149445357,0.00796846393,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
36,0.645103037,0.713678002,-0.597394288,-0.563254178,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
37,0.742219508,0.750324249,1.04583383,1.05694079,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
38,-0.720608711,-0.70217073,-0.613213778,-0.603480041,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
39,-0.0128996698,-0.0107732657,-0.989953876,-0.987562418,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
40,0.826339424,0.829878211,-0.343732417,-0.329493135,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
41,-0.0428859815,-0.0343686193,0.552112937,0.576638103,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
42,0.0666953847,0.0705750585,-0.987562418,-0.986089349,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
43,0.0323904194,0.0337602422,0.420835197,0.430366844,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
44,0.621762872,0.68807286,1.17424464,1.17900944,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
45,0.279926479,0.297889352,-0.883106351,-0.878252506,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
46,0.083945781,0.0881176144,-0.958953738,-0.953308702,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
47,1.02941275,1.08101466766576,0.0151318582,0.0236433186,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
48,0.862347364,0.864342988,1.02541614,1.02815795,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49,-0.841136098,-0.838482738,0.934266746,0.937291086,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,-0.0569101125,-0.0522033945,-1.03911459,-1.0357585,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
51,-0.778730989,-0.775194168,0.898940504,0.90067941,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52,0.986442327,0.992318392,1.16625524,1.168365,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53,-0.90512985,-0.898265839,-0.165009081,-0.144346982,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
54,-0.113187671,-0.091114901,0.0288200565,0.0450736247,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
55,0.621762872,0.713678002,0.853663206,0.858757198,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0
56,-0.70217073,-0.698581874,-0.41849339,-0.40371716,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
57,0.0294876136,0.0320743024,-0.975978374,-0.972714305,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
58,0.58919692,0.597706735,-0.678768277,-0.655116677,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
59,-0.171495706,-0.151288658,-0.92629087,-0.921923637,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
60,-0.670641541,-0.666853547,0.924847484,0.926364005,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
61,0.784168005,0.792262435,1.00733662,1.00811577,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62,0.597706735,0.713678002,-0.655116677,-0.651175618,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
63,-0.51016742,-0.403560966,-0.671088696,-0.655116677,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
64,0.126255229,0.129475683,0.0151318582,0.0236433186,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0
