"","Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Class"
"1",43949.6597427393,813.174979543812,322.458557990959,176.639027493888,1.81291788182598,0.837834963990419,44478.3935754521,236.80116921606,0.806391503861048,0.983206048714889,0.84310888071469,0.735700615207906,0.00732484802990827,0.00132410467569609,0.53611461992618,0.986199999823909,"HOROZ"
"2",29615.9864970897,648.462013601758,226.003031863441,159.640296594174,1.38367524590062,0.688191770904382,29413.9789934121,187.664793290972,0.783901105454668,0.987701211926723,0.924631167754834,0.837459268212065,0.00749546068183847,0.00250001468278309,0.713028131468276,0.995596906655357,"DERMASON"
"3",203205.925998346,1735.25570664426,637.904946415198,393.999938526192,1.62738556152539,0.782681274774472,197331.835357463,506.03369934524,0.724888654153321,0.987241448422194,0.847382579978506,0.784221484618185,0.00321650509248392,0.000735309510254247,0.607789776213534,0.989175450569584,"BOMBAY"
"4",76434.7308719764,1090.40036794316,376.512786161463,268.136278955866,1.4261393706357,0.701191628653574,79412.6448311994,311.333520877915,0.741542883581863,0.978087922854674,0.722099364363014,0.85721396375663,0.00492757701550426,0.00139308849398035,0.667997149028619,0.990476462845362,"BARBUNYA"
"5",49671.9282373667,826.513622711177,319.874987986654,199.932794060047,1.53659644426396,0.755119450723862,52273.0139976032,244.465832884404,0.691087224005842,0.991398160768797,0.918830560360144,0.808428475785673,0.00652488698528335,0.00180959652616374,0.649173196776072,0.997689190942447,"SIRA"
"6",61039.6841789024,952.999288746983,394.563657323412,195.306864348469,2.0738108176102,0.862845534057618,60216.8413766975,274.633701497009,0.706143203478475,0.987249936883546,0.782545699520433,0.695413947249395,0.00660955016768827,0.000976567620813046,0.478890612679783,0.970343654974064,"HOROZ"
"7",61169.6292378787,824.071182661199,340.399854686826,196.170367166851,1.35198478274731,0.672676684417677,29054.1021879813,219.868063882979,0.775350941805492,0.988413165713881,0.922821778555173,0.858764478468001,0.00750506441123003,0.00228217080999592,0.743731250942087,0.998995411421466,"DERMASON"
"8",41124.4674611064,756.904433437845,292.498304271744,183.602517204159,1.56897281577771,0.76895433401777,41769.0925479037,230.113194288165,0.78035258026617,0.987379000788909,0.883744623521183,0.797002985457526,0.00696052030602672,0.00176557220285828,0.635933513403902,0.996398321689231,"SIRA"
"9",50909.8704535382,942.462759337615,405.527558748412,190.552139459609,1.87788133985439,0.850285110113218,57043.4009024305,257.686275466515,0.712363629120704,0.987345140586236,0.830492427715416,0.722675436992934,0.00667979257720377,0.000985097596346127,0.474476786584841,0.998459410303386,"HOROZ"
"10",45094.7972595261,815.138369522316,304.312823700672,193.753537813374,1.57485579891184,0.78153877027563,46205.1235475604,241.403114020861,0.754649285977091,0.983660223222319,0.863124181416411,0.786025314445884,0.00676881977654823,0.00161300829740565,0.635468133145999,0.99093680769028,"SIRA"
"11",37671.7975202684,713.264310970826,248.671706274481,202.220183593534,1.27900498629623,0.598708662367957,40772.2692150599,222.853493052678,0.748946882520899,0.991802426062062,0.974683846907079,0.89354245100948,0.00641213087866226,0.00242262130227614,0.783147892103946,0.995644957608161,"SEKER"
"12",60061.595578028,1012.53310883501,400.432840355187,190.585484682541,2.02734848096225,0.869930575886501,59077.8163683291,274.056401487472,0.567707118921974,0.986245773624636,0.768876498075121,0.697195241212054,0.00658468813841895,0.000950554021249866,0.49156182177784,0.986271442208613,"HOROZ"
"13",69134.9003305996,1065.41722168555,405.069516970346,196.160509110827,2.06032960701096,0.85897846626576,63742.5783393185,303.827612697212,0.776457503305311,0.988985064344604,0.805628532000798,0.736850677219299,0.00594346351934024,0.00094877553348597,0.480972863175383,0.993186935478817,"CALI"
"14",45932.6279060411,813.542570476799,320.648104955511,184.419884328082,1.73008108736388,0.817701507090821,46467.0091308982,242.020514334389,0.6828091492132,0.992107663105505,0.859281987641033,0.762301921905978,0.00697767866937682,0.00140202056368117,0.575564042661588,0.99880943517328,"SIRA"
"15",49258.5069132267,833.131641882204,307.445869716388,202.820659438945,1.50150745232741,0.747937102218682,50089.689137855,250.734830209556,0.735576272681849,0.990124481334919,0.90488426773986,0.804661614488189,0.00628165464034526,0.00156288034871665,0.667895595055105,0.997563651266954,"SIRA"
